overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime
4,,True,2018-04-16,A1S0P16TIUH3RV,B00000JPPI,{'Size:': ' 1 PACK'},Symbols Of Love,"Honestly I haven't had any problem with my DVD player at home I simply purchased this to ensure the lense is clean as I have recently had both DVD/CD players in both our vehicles start to skip.  After we used the SKIP DR CD/DVD lense cleaner on those and it did make a HUGE difference and all the issues seemed to have subsided.  Thought it was time for the home DVD player to be cleaned as well.

PLEASE NOTE: If you appreciated this review please give it a thumbs up/like your helping me to continue to give honest/unbiased insight into products Ive used and you may have questions about. Interested in a product but don't know enough about it and would like it reviewed? Please let me know and I'll see what I can do... Thank you ","Worked well, used for maintenance puropses only...",1523836800.0
1,2.0,True,2017-05-22,A1KD8CHSA9ZFAO,B00000K2YR,{'Package Type:': ' Standard Packaging'},Amazon Customer,"Out of the box would not transmit.  Connect to SWR meter... zero transmit.  My CB experience spans 40 years, and I am a HAM operator.  Tried multiple (functional) quality CB antennas - ZILCH.  Sadly, I didn't use it until I needed it... and that occured past the warranty.  SO $$ wasted.  Others seem to have better luck.  Mine may have been a fluke but I did see other reviews with similar complaints.  ""Caveat emptor""... buyer beware.",Bad quality control - not like the Midland of old.,1495411200.0
5,3.0,False,2016-02-01,A30PTIEWZ26EYX,B00000K2YR,{'Package Type:': ' Standard Packaging'},Tim,"I generally don't write reviews ever, but this product definitely warrants one.  It's absolutely fantastic! I'm a truck driver and wanted a radio for my personal pickup truck, but I didn't want something bulky that took up a bunch of room, and didn't want to waste time wiring something up. I hesitantly took a gamble on this one based on the good reviews, as I thought such a small, compact unit could never be as good as an actual large hard wired unit.  I was quickly proven wrong.  This unit in my opinion is just as good as a larger hard wired standard 4 watt system. I have it matched up with a 3 foot lil wil magnetic mount roof antenna, and I am able to clearly transmit and receive with other cb's as far as 6 miles away!  I highly recommend this unit to anyone who wants to have a CB in their vehicle without all the hassle of wiring and bulkiness of a standard CB radio.",FANTASTIC!!,1454284800.0
1,,True,2016-01-14,A20IQN5J9Z3I5N,B00000K2YR,{'Package Type:': ' Standard Packaging'},JayBee,"This might be the top selling CB radio - but I don't recommend it and I definitely do not recommend Midland's customer service/warranty.

I bought it and barely used it (it sat in my 4x4, which I hardly drove).  After several months of non-use, I switched it on and the CB radio wouldn't receive or transmit (the weather band still worked).  I called Midland and explained the problem to them.  The customer service agent told me to ship it back to them.  I shipped it back and a week later I got a phone call asking for a return authorization code because the 1-year warranty had expired.  I sighed and explained the situation but it was no use - Midland wouldn't touch it knowing the warranty was still valid...or I could pay $75 an hour for an engineer to look at it.  Yeaaaah, right.

So, I bought it - used it 3 or 4 times - it breaks.  Paid to ship it to Midland and now they are shipping it back, so I can throw it in the trash.  Awesome, right?  No more Midland products for me.",Gently Used CB Radio Died Without Reason & Midland Refused To Help,1452729600.0
3,,True,2017-11-24,A34Z7Q92YGRU8K,B00000K4KH,{'Style:': ' Surface Pro'},Amazon User,"In terms of delivery, this product seems to be out of stock or low in stock.  It took about a month and a half for them to finally deliver this to me.  When I finally received it, it only came in a bag with the directions slipped inside the bag (the directions were slightly crumpled so it looked either used or returned).

The lock does fit the Surface Pro, even though it feels loose and maybe insecure when I put it on.  I did try wiggling it a little, though, and it seemed like it was not coming out. However, I wonder if it eventually can with enough wiggling or pulling pressure.  I'll still use it, because it at least will give some security rather than none.",I think it seems to work...,1511481600.0
4,,False,2017-09-27,A2UM324B00HBC8,B00000K4KH,{'Style:': ' MacBook'},Hens&amp;amp;Roosters,"The video at the top of this page shows how this locking station is used. That's about all the info you need in order to get it set up. There is also the option (shown on the printed sheet included in the package box) to install the locking station to a desk or table with screws if you'll always use it in the same location. Personally, I use it on a mobile basis because I cover professional sports and sometimes have to leave my laptop in the photographers' room provided by the sports team -- different locations for different teams and events. A few weeks ago, a number of laptops were stolen (by someone in security according to the rumors I've heard) but my laptop was not. So, using a locking device really helps even if it isn't 100% foolproof. The guys got their laptops back, but who knows what happened to the confidential information on them? What a pain. Anyway, I find this locking station a little cumbersome, but effective, so I recommend it -- even if you leave your laptop in a ""secured"" location.",Easy to set up and it works!,1506470400.0
3,,False,2017-09-06,A24O15MYDNLZBE,B00000K4KH,{'Style:': ' MacBook'},Smart4,"This is bulky, not for quickly securing your laptop whilst you get a coffee. But if you are working a tradeshow stand, or using your laptop in a store display, this will secure it down perfectly.

I suspect you *could* break it, but its very strong, and doing so would probably destroy your device. Small comfort, but hopefully the  would-be thief will see that and give up before harm is done.

What this really is, it cheap insurance. When you look at the cost of your MacBook, or any other small laptop you are securing with this, its a bargain.",Cheap insurance for your laptop - keep it safe!,1504656000.0
3,2.0,False,2017-08-26,A1UVWTNPX8TR0G,B00000K4KH,{'Style:': ' MacBook'},GrandmaBlondie,"This is a very nice, secure way to lock up your MacBook, now that they don't come with a keyhole.  It is easy to put together - instructions are simple.  The only tool you need is included.  Very straightforward.  Heavy duty.  No one will cut this cable and make away with your Mac!

HOWEVER - it loses two stars for these reasons - I only lock my Mac when I travel.  This lock up system is HEAVY and bulky. Not like in the past when all I had was the lock and cable (that's Apple's fault).  This ought to come with a carry case at the least.  Second, you cannot close the computer with the security device attached, so no putting the whole thing into your bag and taking off for that trip.  If you need your computer secured in one place, all the time, great.  This is a good lock.  But if you come and go, move your Mac around, etc, this lock is pretty bad news. The fact that the security device only works on an OPEN computer makes is so much much less portable.  And, like I said, it is heavy.","Heavy, secure.  And not very portable.",1503705600.0
5,5.0,False,2017-08-13,A1TKPYCOI1IZVL,B00000K4KH,{'Style:': ' MacBook'},Nicholas Calderone,"I gave this to my fianc&eacute; for use at work since she works in a public office. I wanted her to be able to secure her laptop when she takes it to work. Here is what she said about it:

The locking station is well built. It looks good with my MacBook Pro and it's easy to set up. I like that it's adjustable and can be used with a variety of laptops. The only things I don't like about it are its weight (because it makes it harder to travel with) and that you can't close the laptop when you are using it. I almost always close my laptop lid to put it to sleep and people who work with a closed clamshell/external monitor setup would have a hard time using this. Other than that, It's really a nice option for securing an Apple laptop. I have a 2016 13-inch MacBook Pro with Touch Bar. I keep it in a slim form hard shell case and I did not have any issues getting the locking station to fit with my laptop. I think this is a good investment for anyone who is looking to lock down their laptop.",Nice investment for security,1502582400.0
2,,False,2016-05-05,A2VJBNJ8YJUEI,B00000K4KH,{'Style:': ' Standard'},JordanC,"Huge huge huge pain in the ass. While once locked it does keep your device secure, it takes many many tries. Everything needs to be lined up exactly right or it won't let you remove the key. I am literally spending my own money to buy a new one as opposed to using my work provided Kensington MicroSaver. Save your sanity and do not buy.",Huge huge huge pain in the ass. While once ...,1462406400.0
5,8.0,True,2017-04-13,A2SFJ1ZN2HWL9M,B00001P505,{'Product Packaging:': ' Standard Packaging'},Happy Thug,"I buy at least a couple pair of Koss Headphones or plugs a year, and have for the past 10 years. They never seem to last more than a year, but I guess it's my own fault I never take advantage of their life-time warranty.

I go to the gym a lot, so I need something that is not going to slide off and bump around on my head when I'm working out. I'm sick of plugs, they just really annoy me, and I think they were contributing to hearing loss. I have used the Koss Clips for many years, but the sound quality on those is not as good as a lot of their other stuff.

These however, are among the best sounding headphones I've used, and to my great surprise, the drivers can pop off, and you can pop them on your Koss Clips if you have them! So I haven't even worn these on their intended band, as I've always loved the Clips for how comfortable and stable they are at the gym. I'm going to buy a pair of the more high-end PortaPro series and hopefully those drivers can pop off and go on my clips too, and then I will be so happy.

Still, it's doubtful they will last a year, but I swear i'm going to make use of that warranty next time! Sound quality is definitely a step up from the Clips. Comparable to the KTXPRO1s, or if you aren't familiar with those, notably better than most $50-$100 headphones.",Audio Activity Heaven,1492041600.0
5,,True,2016-01-10,ACGPC21TXRBS1,B00001P505,{'Product Packaging:': ' Standard Packaging'},Darla,"I love these headphones... :)

Forget earbuds that blast your hearing and don't stay put, the Koss SportaPros are excellent for working out or any headphone listening. This model is excellent with sweat.

With the Koss lifetime warranty, I've had my Koss SportaPros replaced a few times (for a small fee), not because of defects or poor quality, rather I simply wear them out. You're not going to find a better headphone for the money and they are worth far more than they cost.

The Koss PortaPro headphones are equally as excellent for a few bucks more. Those are a tad more stylish but otherwise sound about the same as these. I have a couple pairs of those as well.

Not a day goes by that I don't use my Koss headphones with an iPod at the gym, an iPad, and/or and laptop.

I'm hooked on my Koss SportaPros and PortaPros for life and they are one of those products that I can't imagine buying anything else!",LOVE these!,1452384000.0
5,,False,2018-04-22,A9C8UK5307EAG,B00001P4ZH,{'Color:': ' Black/Silver'},Harry Mudd,"The finest headphones available. You can spend vast amounts of money on status symbol names and tiny increases in fidelity that human ears can never detect but hey its only money....... Right?

Do yourself a favor and save the three hundred dollars you want to spend on those cult-followed inferior ""look at me!"" cans and invest forty dollars in a lifetime (warrantied!) of sweet sweet sounds. You will laugh right out loud because the sound of these 'phones is the sound of contented happiness, for about fifteen percent of the cost of the competition with comparable sound.","You will just love portapro, we all do.",1524355200.0
5,,True,2018-04-13,A2S2TX0PGZKD37,B00001P4ZH,{'Color:': ' Black/Silver'},hikingfoole_85,"3rd pair of these I've purchased.  My wife has a pair and I now have a pair in the glove box of each car so when I drive to a nature center or the gym/physical therapy I  no longer forget my phones.  Same lifetime guarantee as the other two.  We've had one pair almost 10 years now and it still sounds great.  Its been sent in twice for the cord pulling out, not manufacturer problem but Koss fixed it anyway.  The Guys in Wisconsin are great at repairs.

Item was shipped quick and secure.",Great sounding Koss Headphones,1523577600.0
4,,True,2018-04-08,A2XW4FRAPR3VHQ,B00001P4ZH,{'Color:': ' Black'},csroc,"I'm not sure what it would take for these to earn a 5 star.  They could be more comfortable if you try to fall sleep wearing them?  That'd help.

The flat superaural earpads aren't really comfortable, but they're not offensive.

Another drawback is that while they collapse, it's not really an elegant or secure solution.  It's not super compact, and it's a pain to get in and out of the bag.

On the other hand these have a lovely, satisfying sound.  Plenty of deep, enjoyable bass and good overall presentation with clear details.  It's no wonder I keep a couple pairs of these around.",An all time classic,1523145600.0
2,,True,2017-10-29,A3M43T9QDYC1DY,B00001P4XA,{'Color:': ' Orange'},MiamiOne,"I like a good set of cheap earbuds.  But I didn't really like this pair.  The one size straight foam housing just didn't fit secure in my ear.  Plus it kept moving around making a squishing type noise.  I immediately sent them to a friend, after cleaning them off with a little alcohol rub.",Not one of my favorites.,1509235200.0
5,,True,2018-02-05,A2JU2CTKHC5H8W,B00001P4ZH,{'Color:': ' Black/Silver'},Jay William Kay-Bull,"Inprefer the aound on these to my $500 Sennheiser 680HD or whatever they are. These are more comfortable for longer than any headphones ever, even for working out. I love the look. Inhave bought like 6 of these to have them everywhere. The cable is not durable, but you can't beat lifetime replacement warranty. The best.",All things considered: Best headphonea ever,1517788800.0
5,3.0,False,2017-11-18,A14J3OCHQ9GH8B,B00001P4ZH,{'Color:': ' Black'},Jeepwalker,"I went into the stereo store back in the early 90's when these had just come out. I was big into stereo gear at the time and had nice (large) headphones and lots of gear. The rep showed them to me, said they were the best and I didn't believe him due to their lightweight and small profile. Plus, at the time the price ($50) was pretty 'rich' for such a small pair of headphones considering the market was flooded with $5-$20 lightweight cheap headphones out of asia that you could buy at any Kmart (yes!) or anywhere else. I happened to have my Aiwa TOTL Cassette walkman in the car, went and got it and plugged them in. The difference was transformative! Here you could take a quality walkman that sounded like a 'walkman' and suddenly get near audiophile quality sound out of the same device! Even a cheap walkman could sound great. Even though I was on a shoestring budget I forked over the $50 on the spot and never looked back!

Still have them and they've been a great investment. Koss used to have a lifetime warranty and I sent them in twice for cord replacements which they sent back with new pads and even a spare set. So, after all these years, I still have them and they still sound about as good as any I've heard since. Pads are available off the internet, and sometimes a piece of hair will work through the foam and curl up inside between the mylar driver and the plastic housing. A vibrating hair can sometimes sound like a 'tick' or distorting audio, so if you hear it, remove the foam pad and gently blow in there. Usually it'll dislodge the hair to the point you can grab the end and pull it out. I've had it where there were several hairs inside. Once cleaned out, they sound great again. One area these wouldn't be that great would be packing into a bag, purse or backpack. I suspect they would break pretty quickly. But if you use care and treat them well, mine have lasted, what ...26 years and still going strong.

If the new ones are as good as the old ones, go for it.",Still have mine from the 90's!,1510963200.0
5,,True,2017-11-01,A2MFMEXGWNGOSR,B00001P4ZH,{'Color:': ' Black'},KontryBoy706,"As a long time lover of the Koss KTXPRO1 (which I STILL do love, use and recommend) I wanted to try these. The KTXPRO1 has been around for decades and I've used them even way back when they were sold by Radio Shack. These Porta Pros I never tried though since I was such an avid fan of the KTXPRO1. The Porta Pro as been said to be KOSS' most popular headphone even more so than the KTXPRO1 that I love still to this day.

So I got a pair of these and as I thought...  wow they are great too as well. It has that same very warm, broad, spread sound that the KTXPRO1 has, balanced non tinny sounding highs, deep bass, with a very thick and rich mid range. There's no weakness when it comes to the sound quality from Koss. I feel I might be able to even wear these even longer than the KTXPRO1 which were also very comfortable too as well.

To the critics,
-These are not Bluetooth headphones
-These are not noise cancelling headphones
-These are not closed back headphones, they are open back
-These are not around the ear headphones, they are on the ear headphones
-These don't have memory foam or leather ear cups, they are standard foam
-These don't have a remote and mic
THEY ARE NOT TRYING TO BE THOSE THINGS

KOSS makes excellent SOUNDING headphones that rival the big wigs in the game. Yes... maybe the durability and/or design suffers a bit sometimes. Maybe their look or staying true to the 80s/90s look may not be fore some... true indeed. However, with the price KOSS charges and the limited lifetime warranty they include... these headphones are a steal and as much of a steal as the KTXPRO1. The sound quality rivals headphones that costs 5 to 10 times as much. I suggest you get a pair and try them for yourself. Also put them up against Beats, Skullcandy, Harmon Kardon, Sony, etc whoever else you want when it comes to a PURE SOUND QUALITY COMPARISON and I'm telling you the price and sound quality compared to those other companies can't compare. This is value.",As a long time Koss KTXPRO1 user these are Amazing TOO!,1509494400.0
3,,False,2017-08-17,ANP2UKTZ6PT6R,B00001P4ZH,{'Color:': ' Black/Silver'},Amazon Customer,"They sure don't make them like they used to. I have the newest iteration of the Porta Pro Classic that has the thicker L-plug cable but the black plastic nub instead of the silver screw.

Everything about this feels cheaper than the older model. Edges are sharper, and the headband has visible tooling marks. The aluminum inserts aren't even stamped as cleanly as they used to be (rough edges). The hinges take quite a bit more force to turn, though they might break in over time.

Mine arrived with the left earpiece not fitting into the frame properly; I had to twist it back into place, but it feels ill-fitting. I guess that beats the ""earpiece fell out"" problem others have reported.

One nitpick: the L-shaped plug (with the thicker cable) does not fit through the hole in my iPhone's case. I had to cut the hole MUCH larger. That said, Koss did try a cable with a smaller straight plug, and that cable ended up being a disaster, so I'll stick with what I've got.

They sound as good as they used to, from what I can tell, but it's sad that Koss caved in to all the money-printing and did what many other manufacturers are doing: cutting corners as much as possible while keeping the price high. Better I think to keep the quality high and raise the price. Instead, Koss raised the warranty charge and cut quality, which means you'll pay the high price over time but have a low-quality product the whole time. It's a kind of dishonesty--the initial purchase price is lower than it really should be.",Newest iteration is indeed cheaply made and will cost more over time than they used to due to repairs,1502928000.0
5,,False,2017-07-25,A110XS3KNAEIO6,B00001P4ZH,{'Color:': ' Black/Silver'},Cigarjohn47,"These are incredible for the price. Can't beat the lifetime warranty on these. They look and feel flimsy and are delicate to handle but they produce incredible sounds. Very good base too. I've owned these for 10 years now and have produced an incredible sound stage for me. Unfortunately, I think I accidently bumped them in the trash not realizing I did that and now there gone forever. I'm still searching for them around my house but I think there gone. So very upsetting. But now I'm looking at getting the KOSS ESP950's for my next upgrade. I hear so many great reviews on these headphones along with the electrostatic performance I've yet to experience. But the price range is way beyond these headphones and probably not justified to many. But these PortaPro's are a fantastic purchase and I would highly recommend them to anyone looking for great sound quality at this price point. There nice and light and comfortable to wear, even if you wear glasses. And you can't beat the lifetime warranties with no questions asked on all KOSS Headphones. I've replaced my Pro/4AA's 3 times since the purchase of them in 1960 with a no questions asked replacement. For some reasons on those headphones, either the left or right side of the ear cans seem to stop working after 15 years of use. Anyway's, these ProtaPro will be a great choice for anyone looking for a great sound that's portable.",What an incredible sounding headphone at this price.,1500940800.0
5,2.0,True,2017-07-11,A1MPUELWV8T2YY,B00001P4ZH,{'Color:': ' Black/Silver'},m3t4lm4n222,"Looking at the Koss Portapro's, you may not think that they're anything special...but once you put them on your head with music playing...you understand why so many people recommend them. The sound on the Koss Portapro's is hard to explain, but it's a type of sound that I can't imagine many people would dislike. I listen to primarily modern hip-hop music and these really shine with that genre. Fantastic mids, highs and surprisingly pleasant bass. It's honestly a surprising sound for the price point and design of these headphones.

Use environment wise, I would suggest these for primarily mobile use, such as walking, riding the bus. skateboarding, etc. I'm not entirely sure I would suggest them for intense workouts, since I could see them falling off and the ear pads soaking up a lot of sweat in a short period of time. You would probably want to stick with in-ear options in such scenarios.

Comfort wise, I was actually surprised at how comfortable the Portapro's are. They have a really simple adjustment method and several tension settings that allow you to find the right fit for you. Despite this, I do think over extended periods of time (2-3 hours) you will begin to have some sort of ear fatigue since these sit on your ears, rather than around your ears. I guess overall, I don't think I would call the Portapro's ""Really comfortable"" but I wouldn't call them uncomfortable either. For me, the comfort sits somewhere in-between the two.

Overall - would I recommend the Portapro's? Yes. At $39.99 or lower, these are an absolute bargain for the type of sound they put out. The only thing I think the Portapro's could improve on are comfort and perhaps a removable/replaceable cable(s) however, it is important to keep in mind that these do come with Koss's lifetime warranty, meaning if anything happens to them, you can send them into Koss for repair. (At the cost of shipping and return shipping) Buy them.",Fantasic headphones for the price.,1499731200.0
4,,True,2017-06-05,A38TY5VAUIEHEM,B00001P4ZH,{'Color:': ' Black/Silver'},The Ferguson Family,"... and feel really, really fragile. Compared to my 200$ fidelio l1s, these sound fairly similar, in terms of sound signature, but (obviously) a completely different build. These are very smooth and clear, with no siblence, but they aren't incredibly detailed. I would listen to Lymbyc System's ""Narita"" for a highlight of everything these do right, and for what they do wrong ""Fly By Wire"" by S.S.L.Y.B.Y. has a different effect..

Stats: (compared to Sennhieser and Phillips headphones)
Comfort: 5/10
Sound Quality: 8/10
Build Quality: 4/10 (with a lifetime warranty)
Style: 7/10
Portability: 9/10","These sound really, really good...",1496620800.0
5,,False,2017-04-04,AYVUFVX51BGR9,B00001P4XA,{'Color:': ' Blue'},Daisey Love,"The sound from these is AMAZING AMAZING AMAZING.
They almost rival the sound from my Sennheiser Momentums - almost.
Crushing and positioning the earbuds takes some getting used to, but with such awesome sound, I'll make it work.
Does not have a mic, and the cord seems flimsy, but the guarantee says LIFETIME.",AMAZING AMAZING SOUND!,1491264000.0
2,,True,2017-03-18,A19MJFMEE3035J,B00001P4ZH,{'Color:': ' Black/Silver'},C. Ervin,"These sound great when you first get them, but just mild bass over the course of a couple weeks has apparently blown them out a bit. Not entirely, but there is a small but noticeable clicking sound any time that any bass plays. I do not turn them up very loud, so I'm not sure why this has happened.

The other problem is a common one in headphones. If you plan on using them as ""portable"" headphones (their explicit purpose), be aware that the wire/plug connection will start breaking down over time. You'll plug them into your smartphone or whatever and carry them around, the plug will get little bits of torque put on it here and there, and over a few months the connection will become intermittent. One or both sides will start failing.

The warranty is great, but you do have to pay to ship them to Koss and for return shipping. In my case, they just sent me a brand new pair, which proceeded to blow out after a couple weeks. I swear, I don't drive them very hard. I'm not hard of hearing and I don't like particularly loud music or noise. They just break with normal use.","Sound good at first, but they don't last",1489795200.0
5,,True,2017-01-04,A37KG5HXY9VWPW,B00001P4ZH,{'Color:': ' Black/Silver'},THE KING OF PANGAEA,"A+++ Cans. I have been using these for portable audio since they came out in the mid '80s.  They probably are the best bargain in portable headphones.  I paid $26 for my first pair and just bought a pair as a XMAS gift for $27 in 2016. Audio will only bettered by cans costing in the hundreds of $.  Can be found on Amazon or eBay for $30-35 or less.  And they have a lifetime guarantee.  If they break, send them to Koss with a small check for $6.00 (last time I checked) ship and handling, and they will either repair or replace for free.  How can you go wrong?  Again, the sound of these small phones outclasses the sound of any other cans in their price range, and probably up to at least 1 or 200 dollars.",STILL A BARGAIN AFTER ALL THESE YEARS,1483488000.0
